,unit,patch
639,228,6
640,229,6
641,232,6
642,233,6
643,234,6
644,235,6
645,236,6
646,238,6
647,239,6
648,241,6
649,242,6
650,244,6
651,245,6
652,246,6
653,247,6
654,249,6
655,254,6
656,257,6
657,258,6
658,264,6
659,267,6
660,274,6
661,275,6
662,276,6
663,278,6
664,279,6
665,280,6
666,284,6
667,285,6
668,286,6
669,295,6
670,316,6
671,317,6
672,323,6
673,332,6
674,334,6
675,339,6
676,340,6
677,343,6
678,364,6
679,367,6
680,375,6
681,377,6
682,379,6
683,380,6
684,382,6
685,386,6
686,389,6
687,390,6
688,395,6
689,396,6
690,397,6
691,401,6
692,402,6
693,403,6
694,404,6
695,405,6
696,406,6
697,407,6
698,408,6
699,410,6
700,411,6
701,414,6
702,415,6
703,416,6
704,478,6
705,479,6
706,482,6
707,483,6
708,487,6
709,490,6
710,491,6
711,499,6
712,501,6
713,502,6
714,505,6
715,507,6
716,508,6
717,509,6
718,511,6
719,513,6
720,514,6
721,130,7
722,131,7
723,136,7
724,137,7
725,138,7
726,254,7
727,255,7
728,256,7
729,257,7
730,258,7
731,259,7
732,260,7
733,261,7
734,262,7
735,263,7
736,264,7
737,265,7
738,266,7
739,267,7
740,268,7
741,269,7
742,270,7
743,271,7
744,272,7
745,273,7
746,274,7
747,276,7
748,282,7
749,283,7
750,284,7
751,285,7
752,289,7
753,395,7
754,396,7
755,397,7
756,398,7
757,419,7
758,420,7
759,421,7
760,423,7
761,424,7
762,425,7
763,426,7
764,428,7
765,430,7
766,431,7
767,432,7
768,433,7
769,435,7
770,436,7
771,437,7
772,438,7
773,439,7
774,440,7
775,441,7
776,32,8
777,82,8
778,196,8
779,300,8
780,301,8
781,302,8
782,303,8
783,470,8
784,471,8
785,32,9
786,33,9
787,34,9
788,35,9
789,36,9
790,37,9
791,38,9
792,39,9
793,40,9
794,41,9
795,42,9
796,43,9
797,45,9
798,46,9
799,47,9
800,48,9
801,49,9
802,50,9
803,52,9
804,53,9
805,54,9
806,55,9
807,56,9
808,59,9
809,60,9
810,62,9
811,65,9
812,67,9
813,73,9
814,75,9
815,77,9
816,78,9
817,81,9
818,85,9
819,86,9
820,87,9
821,90,9
822,94,9
823,97,9
824,102,9
825,104,9
826,106,9
827,122,9
828,176,9
829,177,9
830,178,9
831,179,9
832,180,9
833,181,9
834,182,9
835,183,9
836,187,9
837,188,9
838,189,9
839,194,9
840,196,9
841,197,9
842,198,9
843,199,9
844,200,9
845,201,9
846,202,9
847,203,9
848,204,9
849,205,9
850,206,9
851,213,9
852,215,9
853,217,9
854,218,9
855,219,9
856,220,9
857,221,9
858,222,9
859,224,9
860,225,9
861,227,9
862,230,9
863,234,9
864,235,9
865,237,9
866,238,9
867,240,9
868,241,9
869,243,9
870,245,9
871,247,9
872,248,9
873,249,9
874,250,9
875,251,9
876,252,9
877,253,9
878,254,9
879,255,9
880,256,9
881,259,9
882,363,9
883,428,9
884,472,9
885,473,9
886,475,9
887,487,9
888,490,9
889,497,9
890,3,10
891,10,10
892,46,10
893,47,10
894,51,10
895,81,10
896,82,10
897,83,10
898,85,10
899,86,10
900,88,10
901,90,10
902,91,10
903,94,10
904,95,10
905,96,10
906,98,10
907,120,10
908,129,10
909,130,10
910,132,10
911,133,10
912,135,10
913,136,10
914,137,10
915,138,10
916,142,10
917,143,10
918,145,10
919,146,10
920,149,10
921,150,10
922,151,10
923,154,10
924,159,10
925,161,10
926,162,10
927,164,10
928,167,10
929,168,10
930,170,10
931,171,10
932,172,10
933,174,10
934,177,10
935,178,10
936,179,10
937,184,10
938,196,10
939,197,10
940,198,10
941,201,10
942,209,10
943,210,10
944,211,10
945,213,10
946,215,10
947,217,10
948,219,10
949,223,10
950,224,10
951,225,10
952,227,10
953,228,10
954,231,10
955,234,10
956,237,10
957,239,10
958,240,10
959,241,10
960,242,10
961,243,10
962,244,10
963,245,10
964,246,10
965,248,10
966,250,10
967,252,10
968,253,10
969,254,10
970,295,10
971,303,10
972,320,10
973,324,10
974,327,10
975,333,10
976,335,10
977,336,10
978,355,10
979,356,10
980,357,10
981,361,10
982,363,10
983,366,10
984,377,10
985,378,10
986,379,10
987,381,10
988,383,10
989,384,10
990,387,10
991,388,10
992,389,10
993,390,10
994,391,10
995,392,10
996,395,10
997,398,10
998,399,10
999,400,10
1000,401,10
1001,403,10
1002,405,10
1003,406,10
1004,408,10
1005,409,10
1006,410,10
1007,415,10
1008,11,11
1009,16,11
1010,18,11
1011,19,11
1012,24,11
1013,25,11
1014,26,11
